2003/1/14,2003004,32,28,33,11,13,7,20,猪兔狗猴马鼠猪
2003/1/16,2003005,2,40,39,42,34,36,29,蛇兔龙牛鸡羊虎
2003/1/21,2003006,44,49,16,20,21,43,6,猪马兔猪狗鼠牛
2003/1/23,2003007,36,6,38,27,14,23,49,羊牛蛇龙蛇猴马
2003/1/28,2003008,30,10,25,46,5,41,48,牛鸡马鸡虎虎羊
2003/1/30,2003009,7,28,8,4,5,6,23,鼠兔猪兔虎牛猴
2003/2/4,2003010,28,43,12,7,20,27,46,龙牛猴牛鼠蛇狗
2003/2/6,2003011,18,31,26,11,46,4,16,虎牛马鸡狗龙龙
2003/2/11,2003012,22,11,28,38,40,23,29,狗鸡龙马龙鸡兔
2003/2/13,2003013,12,8,24,39,4,40,18,猴鼠猴蛇龙龙虎
2003/2/18,2003014,20,49,19,10,16,40,24,鼠羊牛狗龙龙猴
2003/2/20,2003015,41,48,13,24,16,1,35,兔猴羊猴龙羊鸡
2003/2/25,2003016,42,19,13,45,28,23,15,虎牛羊猪龙鸡蛇
2003/2/27,2003017,25,4,21,12,9,34,36,羊龙猪猴猪狗猴
2003/3/4,2003018,38,9,44,42,32,33,43,马猪鼠虎鼠猪牛
2003/3/6,2003019,48,15,40,20,35,45,30,猴蛇龙鼠鸡猪虎
2003/3/11,2003020,10,35,39,31,22,20,17,狗鸡蛇牛狗鼠兔
2003/3/13,2003021,49,21,3,20,43,2,32,羊猪蛇鼠牛马鼠
2003/3/18,2003022,22,23,35,8,24,10,33,狗鸡鸡鼠猴狗猪
2003/3/20,2003023,13,14,39,23,21,42,36,羊马蛇鸡猪虎猴
2003/3/25,2003024,30,28,23,34,13,42,20,虎龙鸡狗羊虎鼠
2003/3/27,2003025,48,22,21,9,26,37,35,猴狗猪猪马羊鸡
2003/4/1,2003026,48,12,43,30,40,17,18,猴猴牛虎龙兔虎
2003/4/3,2003027,32,29,21,43,38,41,7,鼠兔猪牛马兔牛
2003/4/8,2003028,13,6,47,11,40,24,42,羊虎鸡鸡龙猴虎
2003/4/10,2003029,7,11,33,23,13,31,28,牛鸡猪鸡羊牛龙
2003/4/15,2003030,37,39,15,28,27,9,33,羊蛇蛇龙蛇猪猪
2003/4/17,2003031,38,12,45,26,18,34,43,马猴猪马虎狗牛
2003/4/22,2003032,31,36,26,7,27,14,43,牛猴马牛蛇马牛
2003/4/24,2003033,20,11,14,47,17,42,27,鼠鸡马鸡兔虎蛇
2003/1/30,2003009,7,28,8,4,5,6,23,牛龙鼠龙兔虎鸡
2003/2/4,2003010,28,43,12,7,20,27,46,龙牛猴牛鼠蛇狗
2003/2/6,2003011,18,31,26,11,46,4,16,虎牛马鸡狗龙龙
2003/2/11,2003012,22,11,28,38,40,23,29,狗鸡龙马龙鸡兔
2003/2/13,2003013,12,8,24,39,4,40,18,猴鼠猴蛇龙龙虎
2003/2/18,2003014,20,49,19,10,16,40,24,鼠羊牛狗龙龙猴
2003/2/20,2003015,41,42,13,24,16,1,35,兔虎羊猴龙羊鸡
2003/2/25,2003016,42,19,13,45,28,23,15,虎牛羊猪龙鸡蛇
2003/2/27,2003017,25,4,21,12,9,34,36,羊龙猪猴猪狗猴
2003/3/4,2003018,38,9,44,42,32,33,43,马猪鼠虎鼠猪牛
2003/6/3,2003044,21,37,47,12,2,49,11,猪羊鸡猴马羊鸡
2003/6/5,2003045,9,44,30,48,27,33,37,猪鼠虎猴蛇猪羊
2003/6/10,2003046,10,19,44,26,30,32,29,狗牛鼠马虎鼠兔
2003/6/12,2003047,27,38,31,14,44,3,26,蛇马牛马鼠蛇马
2003/6/17,2003048,22,3,11,18,24,37,49,狗蛇鸡虎猴羊羊
2003/6/19,2003049,4,10,24,47,3,26,12,龙狗猴鸡蛇马猴
2003/6/24,2003050,21,2,37,44,10,22,47,猪马羊鼠狗狗鸡
2003/6/26,2003051,37,9,40,29,7,26,11,羊猪龙兔牛马鸡
2003/6/30,2003052,18,16,32,47,44,14,2,虎龙鼠鸡鼠马马
2003/7/3,2003053,47,20,39,6,12,5,38,鸡鼠蛇虎猴兔马
2003/4/10,2003029,7,11,33,23,13,31,28,牛鸡猪鸡羊牛龙
2003/4/15,2003030,37,39,15,28,27,9,33,羊蛇蛇龙蛇猪猪
2003/4/17,2003031,38,12,45,26,18,34,43,马猴猪马虎狗牛
2003/4/22,2003032,31,36,26,7,27,14,43,牛猴马牛蛇马牛
2003/4/24,2003033,20,11,14,47,17,42,27,鼠鸡马鸡兔虎蛇
2003/4/29,2003034,37,47,49,30,19,41,3,羊鸡羊虎牛兔蛇
2003/5/2,2003035,10,19,35,8,31,3,36,狗牛鸡鼠牛蛇猴
2003/5/6,2003036,19,7,30,44,37,34,48,牛牛虎鼠羊狗猴
